patent_number,country,title,assignee,grant_year,times_cited,status,url
10878335,US,How Computers Find Similar Text Using Compact Data Structures,Amazon Technologies Inc,2020,18,active,https://patentbrief.org/patent/us/10878335/bert-bidirectional-encoder-representations
3691140,US,"Sticky, Tiny Plastic Balls Made from Acrylates",Individual,1972,382,public domain,https://patentbrief.org/patent/us/3691140/post-it-repositionable-adhesive
5487069,US,CSIRO's High-Frequency Wireless Network Technology,Commonwealth Scientific and Industrial Research Organization CSIRO,1996,120,public domain,https://patentbrief.org/patent/us/5487069/wifi-csiro-wireless-lan
5325765,US,How Keurig's Original Single-Serve Coffee Pod System Works,Keurig Inc,1994,359,public domain,https://patentbrief.org/patent/us/5325765/keurig-single-serve-coffee-pod
RE49155,US,Electric or Natural Gas Blending and Pumping for Oil Wells,Halliburton Energy Services Inc,2022,34,active,https://patentbrief.org/patent/us/RE49155/connected-exercise-bike
7957762,US,How Your Phone Knows When It's Against Your Ear,Apple Inc,2011,368,active,https://patentbrief.org/patent/us/7957762/ios-app-store
3803463,US,Weapon That Shoots Wires to Deliver Electric Shocks,Individual,1974,152,public domain,https://patentbrief.org/patent/us/3803463/taser-stun-gun-cover
8675084,US,Controlling a Camera on Your Phone with a Separate Gadget,Apple Inc,2014,210,active,https://patentbrief.org/patent/us/8675084/facetime-video-calling
5273995,US,How a Cholesterol-Lowering Drug Molecule Was Patented,Warner Lambert Co LLC,1993,519,public domain,https://patentbrief.org/patent/us/5273995/viagra-sildenafil
6323846,US,How a Multi-Touch Screen Detects Multiple Fingers and Palms,University of Delaware,2001,2641,public domain,https://patentbrief.org/patent/us/6323846/aqua-user-interface
4195637,US,Catheter System for Opening and Closing Body Passages,Schneider Medintag AG,1980,256,public domain,https://patentbrief.org/patent/us/4195637/balloon-angioplasty-catheter-gruentzig
8887212,US,Device for Receiving and Processing TV Signals from Cables and Wireless Sources,Individual,2014,170,active,https://patentbrief.org/patent/us/8887212/netflix-content-delivery-network-open-connect
4009052,US,Early Lithium-Ion Battery Design Using Chalcogenides,Exxon Research and Engineering Co,1977,93,public domain,https://patentbrief.org/patent/us/4009052/rechargeable-lithium-battery
4237224,US,How Scientists First Made DNA Replicate in New Cells,Leland Stanford Junior University,1980,346,public domain,https://patentbrief.org/patent/us/4237224/cohen-boyer-recombinant-dna
4683194,US,Detecting Genetic Differences Using DNA Probes and Enzymes,Cetus Corp,1987,289,public domain,https://patentbrief.org/patent/us/4683194/pcr-process
10909459,US,Teaching Computers to Understand Document Similarity Using AI,Cognizant Technology Solutions US Corp,2021,53,active,https://patentbrief.org/patent/us/10909459/federated-learning
4356429,US,How Organic Diodes Make Light Using Special Molecules,Eastman Kodak Co,1982,1031,public domain,https://patentbrief.org/patent/us/4356429/oled-organic-light-emitting-diode
5961804,US,Tiny Capsules for Electronic Paper Displays,Massachusetts Institute of Technology,1999,508,public domain,https://patentbrief.org/patent/us/5961804/e-ink-electronic-paper-display
5272135,US,Preventing Protein Damage with Extra Methionine,Chiron Ophthalmics Inc,1993,63,public domain,https://patentbrief.org/patent/us/5272135/lipitor-atorvastatin
10133995,US,Square's System for Predicting Orders and Guiding Couriers,Square Inc,2018,63,active,https://patentbrief.org/patent/us/10133995/airbnb-host-guest-messaging
4736866,US,Mice Engineered to Develop Cancer for Research,Harvard University,1988,644,public domain,https://patentbrief.org/patent/us/4736866/harvard-oncomouse
8606792,US,How Google's Patent Scores Authors and Posts on Messaging Systems,Google LLC,2013,150,active,https://patentbrief.org/patent/us/8606792/facebook-timeline
3789832,US,Using Nuclear Magnetic Resonance to Detect Cancer in Tissue,Individual,1974,83,public domain,https://patentbrief.org/patent/us/3789832/mri-magnetic-resonance-imaging
10102356,US,Securing Data Storage Commands with Passcodes,EMC IP Holding Co LLC,2018,89,active,https://patentbrief.org/patent/us/10102356/macos-dark-mode
4723129,US,How Canon's Bubble Jet Printers Make Ink Droplets,Canon Inc,1988,1806,public domain,https://patentbrief.org/patent/us/4723129/inkjet-bubble-jet-printing
8372396,US,How Specific Antibody Drugs Are Stabilized for Storage and Use,Genetech Inc,2013,35,active,https://patentbrief.org/patent/us/8372396/tysabri-natalizumab
9280591,US,How Databases Keep Read-Only Copies Up-to-Date,Amazon Technologies Inc,2016,108,active,https://patentbrief.org/patent/us/9280591/amazon-emr-elastic-mapreduce
3672155,US,Hamilton's Early Digital Watch with LED Display,Hamilton Watch Co,1972,118,public domain,https://patentbrief.org/patent/us/3672155/digital-watch-pulsar
6090382,US,Antibodies That Block Tumor Necrosis Factor Alpha (TNFα),BASF SE,2000,361,public domain,https://patentbrief.org/patent/us/6090382/humira-adalimumab
9349016,US,Preventing Sensitive Data Leaks from Company Communications,Dell Software Inc,2016,174,active,https://patentbrief.org/patent/us/9349016/windows-hello-biometric-login
7158878,US,How Digital Maps Are Built From Small Image Pieces,Google LLC,2007,399,public domain,https://patentbrief.org/patent/us/7158878/google-maps-directions
9332078,US,How Amazon Delivers Content Faster Using Local Servers,Amazon Technologies Inc,2016,75,active,https://patentbrief.org/patent/us/9332078/facebook-memories
8171128,US,How Facebook's News Feed Picks Stories You'll Like,Facebook Inc,2012,134,public domain,https://patentbrief.org/patent/us/8171128/facebook-social-graph
8990235,US,Google's System for Auto-Searching Text on Your Device,Google LLC,2015,189,active,https://patentbrief.org/patent/us/8990235/bing-image-search
3761682,US,Early Automatic Cash Dispenser Using Credit Cards,Docutel Corp,1973,36,public domain,https://patentbrief.org/patent/us/3761682/atm-cash-dispenser
7782297,US,Detecting When Gamers Stop Playing to Save Power,Sony Computer Entertainment America LLC,2010,42,public domain,https://patentbrief.org/patent/us/7782297/wii-remote
11436484,US,Nvidia's Method for Training Self-Driving Car AI in Simulations,Nvidia Corp,2022,17,active,https://patentbrief.org/patent/us/11436484/alphazero
10147076,US,Central Bank Digital Currency for Phones and Watches,Individual,2018,35,active,https://patentbrief.org/patent/us/10147076/airbnb-experiences
9202233,US,How IMDb Knew If You'd Go to a Movie or Concert,IMDb com Inc,2015,62,active,https://patentbrief.org/patent/us/9202233/amazon-payments
5075216,US,Using Heat-Resistant Enzymes to Read DNA Sequences Faster,Cetus Corp,1991,146,public domain,https://patentbrief.org/patent/us/5075216/modified-taq-polymerase
4681893,US,"The Chemical Formula for Atorvastatin, the Active Ingredient in Lipitor",Warner Lambert Co LLC,1987,340,public domain,https://patentbrief.org/patent/us/4681893/prozac-fluoxetine
7434177,US,How the Apple Mac Dock Magnifies Icons,Apple Inc,2008,232,public domain,https://patentbrief.org/patent/us/7434177/itunes-digital-music-store
6054297,US,How to Redesign Mouse Antibodies for Safe Use in Humans,Genentech Inc,2000,1161,public domain,https://patentbrief.org/patent/us/6054297/rituxan-chop-chemotherapy
8285656,US,How a Smart System Verifies and Updates Customer Data,Consumerinfo com Inc,2012,102,active,https://patentbrief.org/patent/us/8285656/cortana-virtual-assistant
6267958,US,Making High-Concentration Antibody Medicines Stable for Injection,Genentech Inc,2001,878,public domain,https://patentbrief.org/patent/us/6267958/rituxan-chop
9544394,US,How CDNs Use Client-Side Code to Speed Up Web Downloads,Amazon Technologies Inc,2017,69,active,https://patentbrief.org/patent/us/9544394/aws-cloudtrail
8423408,US,How Phones Store and Rotate Ads Locally by Breaking Rules,Sprint Communications Co LP,2013,119,public domain,https://patentbrief.org/patent/us/8423408/amazon-advertising
5176995,US,Using PCR to Detect Viruses in Blood and Tissue Samples,Hoffmann La Roche Inc,1993,122,public domain,https://patentbrief.org/patent/us/5176995/hiv-pcr-detection
6682736,US,How Human Antibodies Block the Immune System's Off-Switch,Abgenix Inc,2004,500,public domain,https://patentbrief.org/patent/us/6682736/enbrel-etanercept
6590928,US,How Bluetooth Creates Wireless Networks with Unique Addresses,Telefonaktiebolaget LM Ericsson AB,2003,131,public domain,https://patentbrief.org/patent/us/6590928/bluetooth-frequency-hopping
5585089,US,How Scientists Create Human-Friendly Antibodies for Medicine,Protein Design Labs Inc,1996,4274,public domain,https://patentbrief.org/patent/us/5585089/remicade-infliximab
7930393,US,How Amazon Optimizes Website Loading Speeds by Managing Domain Requests,Amazon Technologies Inc,2011,123,active,https://patentbrief.org/patent/us/7930393/amazon-cloudfront-cdn
9939279,US,How Uber Calculates Ride-Pooling Times to Keep Detours Reasonable,Uber Technologies Inc,2018,49,active,https://patentbrief.org/patent/us/9939279/uber-eta-prediction
6233389,US,How TiVo Pauses and Rewinds Live Television,Tivo Inc,2001,798,public domain,https://patentbrief.org/patent/us/6233389/dvr-trick-play
4131919,US,The First Digital Camera's Core Technology,Eastman Kodak Co,1978,106,public domain,https://patentbrief.org/patent/us/4131919/digital-camera-electronic-still
5774670,US,How Websites Remember You Using Stored Data,Netscape Communications Corp,1998,508,public domain,https://patentbrief.org/patent/us/5774670/http-cookie-browser-state
2297691,US,Chester Carlson's Original Xerography Patent,Individual,1942,737,public domain,https://patentbrief.org/patent/us/2297691/xerography-electrophotography-photocopier
3819587,US,The Molecular Structure of Kevlar High-Strength Fiber,EI Du Pont de Nemours and Co,1974,141,public domain,https://patentbrief.org/patent/us/3819587/kevlar-aramid-fiber-kwolek
RE46310,US,How Devices Predict Your Next Move Using Gestures and History,Blanding Hovenweep LLC,2017,34,active,https://patentbrief.org/patent/us/RE46310/google-drive
4259444,US,How Scientists Created Bacteria That Eat Oil Spills,General Electric Co,1981,28,public domain,https://patentbrief.org/patent/us/4259444/chakrabarty-genetically-modified-bacteria
9083770,US,How Apps Automatically Switch Between Video Call Connection Methods,Snapchat Inc,2015,156,active,https://patentbrief.org/patent/us/9083770/facebook-reactions
6370526,US,Smart Ranking of Emails and Files Based on How You Click,International Business Machines Corp,2002,135,public domain,https://patentbrief.org/patent/us/6370526/google-adwords-pay-per-click
8898564,US,How Devices Give Haptic Feedback While You Hover Your Finger,Immersion Corp,2014,11,active,https://patentbrief.org/patent/us/8898564/siri-intelligent-automated-assistant
3659285,US,How the First Home Video Game Console Worked,Sanders Associates Inc,1972,44,public domain,https://patentbrief.org/patent/us/3659285/video-game-console-magnavox
8125456,US,How Touchscreens Save Battery by Sleeping Between Touches,Apple Inc,2012,21,active,https://patentbrief.org/patent/us/8125456/multi-touch-capacitive-scanning
8600430,US,How Smartphones Use Light Sensors to Detect When You Are Talking,Apple Inc,2013,59,active,https://patentbrief.org/patent/us/8600430/imessage
5563422,US,How Nichia Created the First Practical Blue LED Electrodes,Nichia Chemical Industries Ltd,1996,251,public domain,https://patentbrief.org/patent/us/5563422/blue-led-gallium-nitride
8214768,US,How the iPhone Switches and Adds Mobile Web Browser Tabs,Apple Inc,2012,88,active,https://patentbrief.org/patent/us/8214768/ios-notification-center
6523026,US,How Computers Find Hidden Connections Between Different Fields of Knowledge,Huntsman International LLC,2003,456,public domain,https://patentbrief.org/patent/us/6523026/google-search-query-processing
5726435,US,How the QR Code Works,Toyota Central R&D Labs Inc,1998,250,public domain,https://patentbrief.org/patent/us/5726435/qr-code-two-dimensional-barcode
8429565,US,How Touchscreen Gestures Use Physics to Feel Real,Google LLC,2013,63,active,https://patentbrief.org/patent/us/8429565/windows-8-charms-bar
5303388,US,How 3D Icons Rotate to Show More Information,Apple Computer Inc,1994,257,public domain,https://patentbrief.org/patent/us/5303388/macintosh-finder
4166152,US,The Sticky Microscopic Beads Behind Post-it Notes,Minnesota Mining and Manufacturing Co,1979,278,public domain,https://patentbrief.org/patent/us/4166152/post-it-note-adhesive
6884879,US,How Genentech Created Antibodies to Stop Tumor Growth,Genentech Inc,2005,308,public domain,https://patentbrief.org/patent/us/6884879/anti-vegf-antibodies
10275117,US,How the Apple Watch Uses the Digital Crown to Flip Objects,Apple Inc,2019,18,active,https://patentbrief.org/patent/us/10275117/apple-watch-heart-rate-sensor
10373050,US,How to Make AI Run Faster on Smaller Computer Chips,Qualcomm Inc,2019,17,active,https://patentbrief.org/patent/us/10373050/tensor-processing-unit-tpu
4267420,US,How Microwave Crisping Sleeves Work,General Mills Inc,1981,234,public domain,https://patentbrief.org/patent/us/4267420/microwave-popcorn-susceptor
3946398,US,How Piezoelectric Inkjet Printing Works,SILONICS Inc,1976,448,public domain,https://patentbrief.org/patent/us/3946398/drop-on-demand-inkjet
11377237,US,How Rockets Catch Up to Satellites Faster Using Out-of-Plane Steering,United Launch Alliance LLC,2022,9,active,https://patentbrief.org/patent/us/11377237/starship-heat-shield-tiles
11858662,US,How Delivery Drones Self-Calibrate and Pass Safety Checks Before Takeoff,United Parcel Service of America Inc,2024,9,active,https://patentbrief.org/patent/us/11858662/starlink-aviation
8291344,US,How Mobile Devices Switch Between Open Apps Using Gestures,Apple Inc,2012,70,active,https://patentbrief.org/patent/us/8291344/ios-autocorrect-keyboard
11905044,US,How Solar Sails Use Moving Vanes to Steer in Space,LGarde Inc,2024,7,active,https://patentbrief.org/patent/us/11905044/starlink-rv-roaming
4231938,US,The Discovery of Lovastatin for Lowering Cholesterol,Merck and Co Inc,1980,490,public domain,https://patentbrief.org/patent/us/4231938/statin-cholesterol-lovastatin
8410274,US,Making Ivacaftor Easier for the Body to Absorb,Vertex Pharmaceuticals Inc,2013,50,active,https://patentbrief.org/patent/us/8410274/kalydeco-ivacaftor
8914392,US,How Facebook Ranks Search Results Based on Your Friends' Activity,Facebook Inc,2014,66,active,https://patentbrief.org/patent/us/8914392/facebook-events
8423911,US,How Smartphones Organize Apps into Folders,Apple Inc,2013,48,active,https://patentbrief.org/patent/us/8423911/ios-control-center
11706521,US,How Smartphones Automatically Adjust Camera Settings in Low Light,Apple Inc,2023,4,active,https://patentbrief.org/patent/us/11706521/dynamic-island
5639476,US,How to Make Pill Coatings That Keep Medicine Stable Over Time,Euro Celtique SA,1997,1092,public domain,https://patentbrief.org/patent/us/5639476/nicoderm-nicotine-patch
4669140,US,Interchangeable Blades for Folding Pocket Tools,Individual,1987,57,public domain,https://patentbrief.org/patent/us/4669140/leatherman-multitool
7812826,US,How Multi-Touch Gestures Like Pinch-to-Zoom Work on Smartphones,Apple Inc,2010,163,public domain,https://patentbrief.org/patent/us/7812826/iphone-software-keyboard
10002199,US,How Smartphones Suggest Apps Based on Where You Are,Apple Inc,2018,16,active,https://patentbrief.org/patent/us/10002199/uber-driver-incentives
8074172,US,How Smartphones Suggest and Correct Words While You Type,Apple Inc,2011,58,active,https://patentbrief.org/patent/us/8074172/ios-springboard-home-screen
4490728,US,How Thermal Inkjet Printers Use Two-Step Heating to Shoot Ink,Hewlett Packard Co,1984,329,public domain,https://patentbrief.org/patent/us/4490728/thermal-inkjet-printing
10127595,US,How Apps Compare Local Prices and Ratings for Specific Items,Square Inc,2018,20,active,https://patentbrief.org/patent/us/10127595/airbnb-dynamic-pricing-smart-pricing
9268820,US,How Google Displays Knowledge Panels Next to Search Results,Google LLC,2016,25,active,https://patentbrief.org/patent/us/9268820/onedrive-cloud-storage
5305919,US,How the Super Soaker's Pinch-Trigger and Built-In Tank Work,Individual,1994,27,public domain,https://patentbrief.org/patent/us/5305919/super-soaker-water-gun
8399514,US,Using Dimethyl Fumarate to Treat Multiple Sclerosis,Biogen Idec MA Inc,2013,52,active,https://patentbrief.org/patent/us/8399514/gilenya-fingolimod
7387788,US,A Gel That Helps Nicotine Absorb Through Your Skin,Antares Pharma IPL AG,2008,25,public domain,https://patentbrief.org/patent/us/7387788/soliris-eculizumab
11840398,US,"How Titan Trailers Builds Stronger, Smoother Cargo Containers",Titan Trailers Inc,2023,3,active,https://patentbrief.org/patent/us/11840398/starship-mars-configuration
10050760,US,How Uber Manages Data Connections for Self-Driving Car Fleets,Uber Technologies Inc,2018,36,active,https://patentbrief.org/patent/us/10050760/uber-eats
11809700,US,How Folders With Multiple Pages Work on Touchscreens,Apple Inc,2023,3,active,https://patentbrief.org/patent/us/11809700/vision-pro-eye-tracking
RE45701,US,How Cochlear Implants Use Free-Spinning Magnets to Survive MRI Scans,MED EL Elektromedizinische Geraete GmbH,2015,24,active,https://patentbrief.org/patent/us/RE45701/bladeless-fan-air-multiplier
8831529,US,How Smartphones Calibrate Their Radio Power Across Different Temperatures,Apple Inc,2014,47,active,https://patentbrief.org/patent/us/8831529/airplay-wireless-streaming
8448084,US,How Pull-to-Refresh Works on Your Smartphone,Twitter Inc,2013,22,active,https://patentbrief.org/patent/us/8448084/pull-to-refresh-gesture
10184000,US,How to Engineer Antibodies to Better Target and Destroy Disease,Xencor Inc,2019,12,active,https://patentbrief.org/patent/us/10184000/libtayo-cemiplimab
10472419,US,How Novartis Engineered Antibodies to Block the TIM-3 Immune Checkpoint,Novartis AG,2019,10,active,https://patentbrief.org/patent/us/10472419/keytruda-pembrolizumab
10564770,US,How Touchscreens Predict Where Your Finger Will Land Before You Touch,Apple Inc,2020,8,active,https://patentbrief.org/patent/us/10564770/airpods-wireless-earbuds
6355623,US,Personalized Dosing for Crohn's Disease Drugs Using Blood Tests,Centre Hospitalier Universitaire Saint Justine,2002,75,public domain,https://patentbrief.org/patent/us/6355623/spinraza-nusinersen
8732039,US,How Amazon Optimizes Where to Store Products to Avoid Stockouts,Amazon Technologies Inc,2014,41,active,https://patentbrief.org/patent/us/8732039/amazon-subscribe-save
10013058,US,How Apple Embeds Haptic Actuators Directly Into Device Layers,Apple Inc,2018,18,active,https://patentbrief.org/patent/us/10013058/face-id
8521818,US,How Software Detects What You Want Based on Your Social Media Posts,Solariat Inc,2013,34,active,https://patentbrief.org/patent/us/8521818/facebook-share-button
10169761,US,How Banks Dynamically Adjust Security Questions Based on Your Behavior,Consumerinfo com Inc,2019,13,active,https://patentbrief.org/patent/us/10169761/stripe-atlas
8688813,US,How to Verify Anonymous Users Using Third-Party Identity Services,Oracle International Corp,2014,39,public domain,https://patentbrief.org/patent/us/8688813/kindle-fire-tablet
5199424,US,How CPAP Machines Gradually Increase Air Pressure for Sleeping Patients,Individual,1993,231,public domain,https://patentbrief.org/patent/us/5199424/cpap-sleep-apnea-sullivan
9845355,US,How Genentech's Antibody Targets Cancerous B Cells,Genentech Inc,2017,13,active,https://patentbrief.org/patent/us/9845355/tecentriq-atezolizumab
4687200,US,How the Nintendo D-Pad Works,Nintendo Co Ltd,1987,129,public domain,https://patentbrief.org/patent/us/4687200/nintendo-d-pad-directional
4356270,US,How Scientists Taught Bacteria to Make Human Hormones,Genentech Inc,1982,86,public domain,https://patentbrief.org/patent/us/4356270/recombinant-dna-cloning-genentech
9405582,US,How Computers Automatically Adjust Tasks to Run Faster in Data Centers,International Business Machines Corp,2016,32,active,https://patentbrief.org/patent/us/9405582/aws-elastic-beanstalk
11615208,US,How Cloud Systems Automatically Create and Train AI Data Models,Capital One Services LLC,2023,4,active,https://patentbrief.org/patent/us/11615208/dall-e-text-to-image-generation
8701014,US,How Apps Automatically Link Multiple User Accounts,Facebook Inc,2014,26,public domain,https://patentbrief.org/patent/us/8701014/office-365-co-authoring
7355593,US,How Large Interactive Whiteboards Track Fingers Across Multiple Sensors,Smart Technologies ULC,2008,84,public domain,https://patentbrief.org/patent/us/7355593/xbox-360-controller
10466883,US,How Apple Watches Use a Rotating Dial to Navigate Menus,Apple Inc,2019,8,active,https://patentbrief.org/patent/us/10466883/apple-arcade
7136875,US,How Google Ads Detect Which Web Page You Are Viewing,Google LLC,2006,427,public domain,https://patentbrief.org/patent/us/7136875/google-maps
10318574,US,How Google Automatically Groups Photos and Contextual Data into Moments,Google LLC,2019,12,active,https://patentbrief.org/patent/us/10318574/arkit
9965247,US,How Sonos Speakers Use Personalized Wake Words to Recognize Different Users,Sonos Inc,2018,15,active,https://patentbrief.org/patent/us/9965247/icloud-drive
9672117,US,How to Keep Data Safe During a Site Failover,EMC IP Holding Co LLC,2017,21,active,https://patentbrief.org/patent/us/9672117/aws-codedeploy
5397703,US,Using Insect Cells to Create Antibodies for Human Diseases,Cetus Oncology Corp,1995,25,public domain,https://patentbrief.org/patent/us/5397703/hepatitis-c-virus-genome-discovery
3713148,US,How Radio Frequency Identification (RFID) Tags Were Invented,Communications Services Corp Inc,1973,185,public domain,https://patentbrief.org/patent/us/3713148/rfid-transponder-cardullo
8700540,US,How Eventbrite Recommends Events Based on Your Social Network,Eventbrite Inc,2014,51,active,https://patentbrief.org/patent/us/8700540/facebook-messenger
9492534,US,Using Genetically Modified Viruses to Target and Treat Cancer,Genelux Corp,2016,15,active,https://patentbrief.org/patent/us/9492534/yescarta-axicabtagene-ciloleucel
3655201,US,How the 2x2x2 Magnetic Puzzle Cube Works,Moleculon Research Corp,1972,75,public domain,https://patentbrief.org/patent/us/3655201/rotating-cube-puzzle
4302518,US,How Lithium-Cobalt Battery Cathodes Were Invented,Individual,1981,90,public domain,https://patentbrief.org/patent/us/4302518/lithium-ion-battery-cathode
4173796,US,How Jarvik's Artificial Heart Uses Electric Motors to Pump Blood,University of Utah,1979,68,public domain,https://patentbrief.org/patent/us/4173796/jarvik-artificial-heart
8216583,US,How to Keep Humira Stable in a Liquid Medicine Bottle,Abbott Biotech Ltd Bermuda,2012,58,public domain,https://patentbrief.org/patent/us/8216583/humira-dosing-regimen
3693535,US,How a Coffee Maker Uses a Floating Valve to Heat Water,Individual,1972,26,public domain,https://patentbrief.org/patent/us/3693535/mr-coffee-drip-coffee-maker
7509588,US,How the iPhone's Jiggling App Icons Work,Apple Inc,2009,148,public domain,https://patentbrief.org/patent/us/7509588/os-x-spotlight-search
2708656,US,How the First Nuclear Reactor Works,Individual,1955,232,public domain,https://patentbrief.org/patent/us/2708656/nuclear-reactor-fermi-szilard
10402750,US,How Facebook Uses Deep Learning to Predict What You Might Like,Facebook Inc,2019,8,active,https://patentbrief.org/patent/us/10402750/automl-neural-architecture-search
